school,conference,song_name,writers,year,student_writer,official_song,contest,bpm,sec_duration,fight,number_fights,victory,win_won,victory_win_won,rah,nonsense,colors,men,opponents,spelling,trope_count,spotify_id
Illinois,Big Ten,Oskee-Wow-Wow,H.R. Green and H.V. Hill,1910,1,1,0,162,60,0,0,1,0,1,1,1,1,1,1,0,6,6C0vaoMxzM21yYgJBmGx5K
Indiana,Big Ten,"Indiana, Our Indiana",Russell P. Harker and Karl L. King,1912,1,1,0,150,63,1,1,0,0,0,0,0,1,0,0,1,3,2Wbo5zdRDnq4pOgWL9avaG
Iowa,Big Ten,Iowa Fight Song,Meredith Willson,1950,0,1,0,150,72,1,9,0,1,1,1,0,0,0,0,0,3,604ELPPFgbFlW0SHoEYVJw
Maryland,Big Ten,Maryland Fight Song,Ralph Davis,1939,1,1,0,142,56,1,8,1,1,1,0,0,0,0,0,0,3,6PKoPWKJLOBI2K33RkFvbc
Michigan,Big Ten,The Victors,Louis Elbel,1898,1,1,0,83,122,0,0,0,0,0,0,0,0,0,0,0,0,6wVbHLCBOCqp6052WcWXLG
Michigan State,Big Ten,Victory for MSU,Francis Irving Lankey and Arthur L. Sayles,1915,1,1,0,145,112,1,6,1,1,1,1,0,1,0,0,1,5,4BSrPApxbeUNPA5Q8LyfMd
Minnesota,Big Ten,The Minnesota Rouser,Floyd Hutsell,1909,0,1,1,151,60,0,0,0,0,0,1,1,0,0,0,1,3,2EeyLSmHKdZulOKGcTpLS0
Nebraska,Big Ten,Dear Old Nebraska U.,Harry Pecha,1924,1,0,0,136,94,0,0,0,0,0,0,0,0,1,0,0,1,7z2TihIyf3IZR1r0AmI1Ik
Northwestern,Big Ten,Go! U Northwestern,Theodore C. Van Etten,1912,1,1,0,140,57,1,1,1,1,1,1,0,0,0,0,0,4,4iWO9U49SZ0vvzto7qxRxN
Ohio State,Big Ten,Buckeye Battle Cry,Frank Crumit,1919,0,1,1,178,89,1,1,1,1,1,0,0,1,1,0,0,5,2faIedehtxwQqYxRRc6T2L
Penn State,Big Ten,"Fight On, State",Joseph Sanders,1933,0,1,0,145,81,1,5,1,1,1,0,0,1,0,0,1,5,5InlNNfIFQAvCL78VFgR5O
Purdue,Big Ten,Hail Purdue,James R. Morrison and Edward S. Wotawa,1912,1,1,0,160,86,0,0,1,0,1,0,0,1,0,0,0,2,1bYZgec19T5gQJAUeIzq9W
Rutgers,Big Ten,The Bells Must Ring,Richard Hadden and W.E. Sanford,1931,1,1,1,75,74,1,10,1,1,1,1,1,1,1,0,1,8,7EdGMXzZjJKNHJaszbWTHi
Wisconsin,Big Ten,"On, Wisconsin",William Purdy and Carl Beck,1909,0,1,0,132,134,1,5,0,1,1,0,0,0,1,0,0,3,4DmMOLdp4ZYvrAqemDBBbJ
Oregon,Big Ten,Mighty Oregon,DeWitt Gilbert and Albert John Perfect,1916,1,1,0,65,80,1,2,1,1,1,0,0,0,1,1,0,5,4zPgdoDF3Od2dwQdPlGJtt
UCLA,Big Ten,Sons of Westwood, Harold P. Williams and N. Loyall McLaren; Kelly James,1959,0,1,0,72,69,1,3,0,0,0,0,0,1,1,1,1,5,0XxQcPAThn9dOZ6NVFUfGl
USC,Big Ten,"Fight On, USC",Milo Sweet,1922,1,1,1,75,60,1,5,1,1,1,0,0,0,1,0,1,5,23EM48kuqZWVltXE9bApcK
Washington,Big Ten,Bow Down to Washington,Lester J. Wilson,1915,0,1,1,139,89,1,1,1,0,1,1,0,1,0,0,0,4,0OLQPcJ1jMwrXJbt81hHrx
